,index,batch_size,dropout_rate,epochs,input_shape,learning_rate,max_depth,model,n_estimators,n_neighbors,normalize,score,weights
0,0,,,,,,,knn,,46.0,,-148.1903503853998,uniform
1,0,,,,,,5.0,decision_tree,,,,-147.10803520165447,
2,0,,,,,,5.0,random_forest,75.0,,,-143.89185473820282,
3,0,,,,,,,linear_regression,,,False,-170.65199079929272,
4,0,4.0,0.1,8.0,"(4, 1)",0.02,,gru,,,,-130.9442998413909,79
