,index,batch_size,dropout_rate,epochs,input_shape,learning_rate,max_depth,model,n_estimators,n_neighbors,normalize,score,weights
0,0,,,,,,,knn,,48.0,,-77.32234458971172,distance
1,0,,,,,,3.0,decision_tree,,,,-86.54888910131824,
2,0,,,,,,5.0,random_forest,40.0,,,-76.5982488897832,
3,0,,,,,,,linear_regression,,,False,-76.15049949468495,
4,0,27.0,0.2,10.0,"(27, 1)",0.003111111111111111,,gru,,,,-77.85622690690809,100
