Timestamp,AirQualityStationEoICode,AveragingTime,PM10,PM2.5
2013-01-01 23:00:00,DESN025,day,34.72,23.01
2013-01-02 23:00:00,DESN025,day,15.82,9.06
2013-01-03 23:00:00,DESN025,day,11.31,7.85
2013-01-04 23:00:00,DESN025,day,17.18,10.78
2013-01-05 23:00:00,DESN025,day,7.29,5.3
2013-01-06 23:00:00,DESN025,day,9.13,6.79
2013-01-07 23:00:00,DESN025,day,16.84,8.29
2013-01-08 23:00:00,DESN025,day,32.49,22.37
2013-01-09 23:00:00,DESN025,day,19.35,15.53
2013-01-10 23:00:00,DESN025,day,15.89,8.48
2013-01-11 23:00:00,DESN025,day,12.35,8.09
2013-01-12 23:00:00,DESN025,day,19.62,13.45
2013-01-13 23:00:00,DESN025,day,24.46,19.12
2013-01-14 23:00:00,DESN025,day,43.79,32.98
2013-01-15 23:00:00,DESN025,day,46.21,37.72
2013-01-16 23:00:00,DESN025,day,71.72,59.19
2013-01-17 23:00:00,DESN025,day,39.92,34.86
2013-01-18 23:00:00,DESN025,day,19.13,18.42
2013-01-19 23:00:00,DESN025,day,31.05,31.13
2013-01-20 23:00:00,DESN025,day,60.07,49.3
2013-01-21 23:00:00,DESN025,day,52.06,47.58
2013-01-22 23:00:00,DESN025,day,47.94,48.09
2013-01-23 23:00:00,DESN025,day,52.72,46.2
2013-01-24 23:00:00,DESN025,day,77.87,62.8
2013-01-25 23:00:00,DESN025,day,74.44,70.29
2013-01-26 23:00:00,DESN025,day,69.72,63.07
2013-01-27 23:00:00,DESN025,day,34.91,
2013-01-28 23:00:00,DESN025,day,23.12,14.16
2013-01-29 23:00:00,DESN025,day,10.48,
2013-01-30 23:00:00,DESN025,day,6.63,
2013-01-31 23:00:00,DESN025,day,17.38,6.38
2013-02-01 23:00:00,DESN025,day,16.63,8.83
2013-02-02 23:00:00,DESN025,day,11.49,7.41
2013-02-03 23:00:00,DESN025,day,15.71,6.61
2013-02-04 23:00:00,DESN025,day,10.07,6.05
2013-02-05 23:00:00,DESN025,day,15.3,7.46
2013-02-06 23:00:00,DESN025,day,21.0,11.26
2013-02-07 23:00:00,DESN025,day,22.96,16.42
2013-02-08 23:00:00,DESN025,day,22.06,16.06
2013-02-09 23:00:00,DESN025,day,25.38,21.03
2013-02-10 23:00:00,DESN025,day,32.49,24.27
2013-02-11 23:00:00,DESN025,day,43.11,32.58
2013-02-12 23:00:00,DESN025,day,55.01,45.5
2013-02-13 23:00:00,DESN025,day,54.35,45.35
2013-02-14 23:00:00,DESN025,day,58.82,45.17
2013-02-15 23:00:00,DESN025,day,70.68,53.09
2013-02-16 23:00:00,DESN025,day,80.45,65.18
2013-02-17 23:00:00,DESN025,day,67.51,55.95
2013-02-18 23:00:00,DESN025,day,51.39,36.03
2013-02-19 23:00:00,DESN025,day,28.38,23.48
2013-02-20 23:00:00,DESN025,day,13.07,9.09
2013-02-21 23:00:00,DESN025,day,16.24,13.23
2013-02-22 23:00:00,DESN025,day,45.65,41.55
2013-02-23 23:00:00,DESN025,day,33.54,31.78
2013-02-24 23:00:00,DESN025,day,28.16,23.33
2013-02-25 23:00:00,DESN025,day,51.96,42.47
2013-02-26 23:00:00,DESN025,day,61.09,36.89
2013-02-27 23:00:00,DESN025,day,19.65,15.98
2013-02-28 23:00:00,DESN025,day,50.72,36.76
2013-03-01 23:00:00,DESN025,day,34.17,21.46
2013-03-02 23:00:00,DESN025,day,47.0,25.61
2013-03-03 23:00:00,DESN025,day,29.01,18.36
2013-03-04 23:00:00,DESN025,day,44.81,23.32
2013-03-05 23:00:00,DESN025,day,52.03,27.37
2013-03-06 23:00:00,DESN025,day,62.16,39.12
2013-03-07 23:00:00,DESN025,day,82.52,58.41
2013-03-08 23:00:00,DESN025,day,40.16,33.74
2013-03-09 23:00:00,DESN025,day,40.43,30.83
2013-03-10 23:00:00,DESN025,day,34.08,27.89
2013-03-11 23:00:00,DESN025,day,38.34,33.05
2013-03-12 23:00:00,DESN025,day,30.49,26.78
2013-03-13 23:00:00,DESN025,day,32.74,25.49
2013-03-14 23:00:00,DESN025,day,46.87,39.73
2013-03-15 23:00:00,DESN025,day,45.42,33.54
2013-03-16 23:00:00,DESN025,day,54.94,40.8
2013-03-17 23:00:00,DESN025,day,40.01,29.15
2013-03-18 23:00:00,DESN025,day,39.97,33.14
2013-03-19 23:00:00,DESN025,day,60.76,50.61
2013-03-20 23:00:00,DESN025,day,28.96,27.68
2013-03-21 23:00:00,DESN025,day,38.71,30.1
2013-03-22 23:00:00,DESN025,day,30.45,23.5
2013-03-23 23:00:00,DESN025,day,28.39,20.37
2013-03-24 23:00:00,DESN025,day,28.39,22.44
2013-03-25 23:00:00,DESN025,day,33.44,22.25
2013-03-26 23:00:00,DESN025,day,34.6,20.58
2013-03-27 23:00:00,DESN025,day,38.08,24.32
2013-03-28 23:00:00,DESN025,day,55.46,43.59
2013-03-29 23:00:00,DESN025,day,66.77,61.5
2013-03-30 23:00:00,DESN025,day,69.01,56.9
2013-03-31 23:00:00,DESN025,day,33.33,27.97
2013-04-01 23:00:00,DESN025,day,21.59,16.53
2013-04-02 23:00:00,DESN025,day,33.56,21.59
2013-04-03 23:00:00,DESN025,day,39.7,27.04
2013-04-04 23:00:00,DESN025,day,42.21,28.98
2013-04-05 23:00:00,DESN025,day,43.13,29.64
2013-04-06 23:00:00,DESN025,day,30.53,21.17
2013-04-07 23:00:00,DESN025,day,34.79,26.05
2013-04-10 23:00:00,DESN025,day,24.75,12.62
2013-04-11 23:00:00,DESN025,day,19.48,12.6
2013-04-12 23:00:00,DESN025,day,18.69,11.69
2013-04-13 23:00:00,DESN025,day,30.82,17.3
2013-04-14 23:00:00,DESN025,day,20.21,12.06
2013-04-15 23:00:00,DESN025,day,33.38,19.05
2013-04-16 23:00:00,DESN025,day,53.01,32.75
2013-04-17 23:00:00,DESN025,day,40.36,21.8
2013-04-18 23:00:00,DESN025,day,41.52,20.4
2013-04-19 23:00:00,DESN025,day,47.99,18.58
2013-04-20 23:00:00,DESN025,day,25.44,12.6
2013-04-21 23:00:00,DESN025,day,37.2,22.95
2013-04-22 23:00:00,DESN025,day,62.69,37.02
2013-04-23 23:00:00,DESN025,day,61.65,36.57
2013-04-24 23:00:00,DESN025,day,56.43,36.96
2013-04-25 23:00:00,DESN025,day,80.17,47.98
2013-04-26 23:00:00,DESN025,day,60.17,31.27
2013-04-27 23:00:00,DESN025,day,8.82,7.27
2013-04-28 23:00:00,DESN025,day,15.09,8.74
2013-04-29 23:00:00,DESN025,day,28.5,19.36
2013-04-30 23:00:00,DESN025,day,39.51,23.7
2013-05-01 23:00:00,DESN025,day,26.67,19.76
2013-05-02 23:00:00,DESN025,day,39.86,26.63
2013-05-03 23:00:00,DESN025,day,32.48,17.65
2013-05-04 23:00:00,DESN025,day,50.47,27.76
2013-05-05 23:00:00,DESN025,day,37.92,24.55
2013-05-06 23:00:00,DESN025,day,38.5,26.49
2013-05-07 23:00:00,DESN025,day,32.32,23.24
2013-05-08 23:00:00,DESN025,day,30.45,18.78
2013-05-09 23:00:00,DESN025,day,16.43,11.46
2013-05-10 23:00:00,DESN025,day,22.92,11.7
2013-05-11 23:00:00,DESN025,day,26.16,15.97
2013-05-12 23:00:00,DESN025,day,12.96,7.64
2013-05-13 23:00:00,DESN025,day,21.39,9.11
2013-05-14 23:00:00,DESN025,day,22.61,11.45
2013-05-15 23:00:00,DESN025,day,26.55,16.73
2013-05-16 23:00:00,DESN025,day,28.84,12.59
2013-05-17 23:00:00,DESN025,day,25.72,12.78
2013-05-18 23:00:00,DESN025,day,17.32,12.48
2013-05-19 23:00:00,DESN025,day,21.33,13.88
2013-05-20 23:00:00,DESN025,day,9.04,5.1
2013-05-21 23:00:00,DESN025,day,18.19,9.11
2013-05-22 23:00:00,DESN025,day,16.65,6.59
2013-05-23 23:00:00,DESN025,day,18.91,8.9
2013-05-24 23:00:00,DESN025,day,17.18,10.12
2013-05-25 23:00:00,DESN025,day,19.32,11.19
2013-05-26 23:00:00,DESN025,day,3.66,
2013-05-27 23:00:00,DESN025,day,10.53,6.45
2013-05-28 23:00:00,DESN025,day,23.51,13.94
2013-05-29 23:00:00,DESN025,day,15.42,10.3
2013-05-30 23:00:00,DESN025,day,24.17,14.94
2013-05-31 23:00:00,DESN025,day,21.33,10.7
2013-06-01 23:00:00,DESN025,day,18.32,12.92
2013-06-02 23:00:00,DESN025,day,14.04,5.92
2013-06-03 23:00:00,DESN025,day,23.76,7.95
2013-06-04 23:00:00,DESN025,day,24.07,9.93
2013-06-05 23:00:00,DESN025,day,16.69,7.54
2013-06-06 23:00:00,DESN025,day,24.19,11.65
2013-06-07 23:00:00,DESN025,day,26.72,15.31
2013-06-08 23:00:00,DESN025,day,27.16,17.07
2013-06-09 23:00:00,DESN025,day,21.24,14.13
2013-06-10 23:00:00,DESN025,day,17.67,9.27
2013-06-11 23:00:00,DESN025,day,24.12,11.69
2013-06-12 23:00:00,DESN025,day,27.26,12.96
2013-06-13 23:00:00,DESN025,day,23.71,13.1
2013-06-14 23:00:00,DESN025,day,15.36,7.74
2013-06-15 23:00:00,DESN025,day,18.68,10.01
2013-06-16 23:00:00,DESN025,day,14.21,7.16
2013-06-17 23:00:00,DESN025,day,20.7,10.25
2013-06-18 23:00:00,DESN025,day,41.5,24.07
2013-06-19 23:00:00,DESN025,day,37.46,26.36
2013-06-20 23:00:00,DESN025,day,40.97,32.08
2013-06-21 23:00:00,DESN025,day,20.94,7.91
2013-06-22 23:00:00,DESN025,day,13.64,7.24
2013-06-23 23:00:00,DESN025,day,11.96,6.57
2013-06-24 23:00:00,DESN025,day,19.8,7.36
2013-06-25 23:00:00,DESN025,day,14.97,8.12
2013-06-26 23:00:00,DESN025,day,15.65,6.82
2013-06-27 23:00:00,DESN025,day,19.33,11.25
2013-06-28 23:00:00,DESN025,day,16.49,9.68
2013-06-29 23:00:00,DESN025,day,14.28,7.59
2013-06-30 23:00:00,DESN025,day,17.95,6.04
2013-07-01 23:00:00,DESN025,day,15.95,8.16
2013-07-02 23:00:00,DESN025,day,18.69,10.26
2013-07-03 23:00:00,DESN025,day,22.45,9.94
2013-07-04 23:00:00,DESN025,day,20.45,10.29
2013-07-05 23:00:00,DESN025,day,32.82,18.95
2013-07-06 23:00:00,DESN025,day,22.44,12.32
2013-07-07 23:00:00,DESN025,day,16.62,9.78
2013-07-08 23:00:00,DESN025,day,27.02,13.94
2013-07-09 23:00:00,DESN025,day,35.34,20.67
2013-07-10 23:00:00,DESN025,day,26.32,13.14
2013-07-11 23:00:00,DESN025,day,22.17,9.88
2013-07-12 23:00:00,DESN025,day,23.17,11.19
2013-07-13 23:00:00,DESN025,day,20.53,12.94
2013-07-14 23:00:00,DESN025,day,21.56,14.92
2013-07-15 23:00:00,DESN025,day,20.15,9.66
2013-07-16 23:00:00,DESN025,day,32.1,17.86
2013-07-17 23:00:00,DESN025,day,26.45,14.66
2013-07-18 23:00:00,DESN025,day,23.2,10.12
2013-07-19 23:00:00,DESN025,day,25.27,11.71
2013-07-20 23:00:00,DESN025,day,18.29,9.94
2013-07-21 23:00:00,DESN025,day,15.59,7.73
2013-07-22 23:00:00,DESN025,day,23.14,11.77
2013-07-23 23:00:00,DESN025,day,31.34,15.69
2013-07-24 23:00:00,DESN025,day,25.07,13.28
2013-07-25 23:00:00,DESN025,day,27.71,19.22
2013-07-26 23:00:00,DESN025,day,25.22,15.45
2013-07-27 23:00:00,DESN025,day,27.36,15.73
2013-07-28 23:00:00,DESN025,day,23.64,13.35
2013-07-29 23:00:00,DESN025,day,18.37,9.56
