Timestamp,AirQualityStationEoICode,AveragingTime,PM10
2013-05-13 23:00:00,DESN077,day,22.25
2013-05-14 23:00:00,DESN077,day,23.08
2013-05-15 23:00:00,DESN077,day,36.17
2013-05-16 23:00:00,DESN077,day,31.48
2013-05-17 23:00:00,DESN077,day,28.86
2013-05-18 23:00:00,DESN077,day,17.2
2013-05-19 23:00:00,DESN077,day,22.08
2013-05-20 23:00:00,DESN077,day,9.42
2013-05-21 23:00:00,DESN077,day,15.7
2013-05-22 23:00:00,DESN077,day,16.98
2013-05-23 23:00:00,DESN077,day,20.45
2013-05-24 23:00:00,DESN077,day,16.67
2013-05-25 23:00:00,DESN077,day,20.66
2013-05-26 23:00:00,DESN077,day,4.27
2013-05-27 23:00:00,DESN077,day,12.02
2013-05-28 23:00:00,DESN077,day,23.08
2013-05-29 23:00:00,DESN077,day,15.64
2013-05-30 23:00:00,DESN077,day,23.2
2013-05-31 23:00:00,DESN077,day,23.36
2013-06-01 23:00:00,DESN077,day,22.03
2013-06-02 23:00:00,DESN077,day,16.45
2013-06-03 23:00:00,DESN077,day,27.77
2013-06-04 23:00:00,DESN077,day,26.85
2013-06-05 23:00:00,DESN077,day,24.49
2013-06-06 23:00:00,DESN077,day,29.78
2013-06-07 23:00:00,DESN077,day,28.67
2013-06-08 23:00:00,DESN077,day,26.4
2013-06-09 23:00:00,DESN077,day,22.93
2013-06-10 23:00:00,DESN077,day,18.52
2013-06-11 23:00:00,DESN077,day,26.05
2013-06-12 23:00:00,DESN077,day,28.33
2013-06-13 23:00:00,DESN077,day,26.14
2013-06-14 23:00:00,DESN077,day,14.42
2013-06-15 23:00:00,DESN077,day,18.47
2013-06-16 23:00:00,DESN077,day,14.14
2013-06-17 23:00:00,DESN077,day,24.66
2013-06-18 23:00:00,DESN077,day,41.78
2013-06-19 23:00:00,DESN077,day,43.27
2013-06-20 23:00:00,DESN077,day,44.43
2013-06-21 23:00:00,DESN077,day,15.57
2013-06-22 23:00:00,DESN077,day,13.13
2013-06-23 23:00:00,DESN077,day,11.59
2013-06-24 23:00:00,DESN077,day,14.74
2013-06-25 23:00:00,DESN077,day,12.65
2013-06-26 23:00:00,DESN077,day,11.76
2013-06-27 23:00:00,DESN077,day,17.58
2013-06-28 23:00:00,DESN077,day,13.84
2013-06-29 23:00:00,DESN077,day,12.86
2013-06-30 23:00:00,DESN077,day,15.98
2013-07-01 23:00:00,DESN077,day,16.25
2013-07-02 23:00:00,DESN077,day,17.43
2013-07-03 23:00:00,DESN077,day,20.13
2013-07-04 23:00:00,DESN077,day,17.71
2013-07-05 23:00:00,DESN077,day,30.88
2013-07-06 23:00:00,DESN077,day,22.18
2013-07-07 23:00:00,DESN077,day,17.99
2013-07-08 23:00:00,DESN077,day,22.08
2013-07-09 23:00:00,DESN077,day,33.35
2013-07-10 23:00:00,DESN077,day,24.25
2013-07-11 23:00:00,DESN077,day,19.03
2013-07-12 23:00:00,DESN077,day,23.76
2013-07-13 23:00:00,DESN077,day,19.84
2013-07-14 23:00:00,DESN077,day,22.21
2013-07-15 23:00:00,DESN077,day,21.59
2013-07-16 23:00:00,DESN077,day,30.8
2013-07-17 23:00:00,DESN077,day,27.9
2013-07-18 23:00:00,DESN077,day,22.38
2013-07-19 23:00:00,DESN077,day,24.28
2013-07-20 23:00:00,DESN077,day,17.51
2013-07-21 23:00:00,DESN077,day,17.2
2013-07-22 23:00:00,DESN077,day,25.3
2013-07-23 23:00:00,DESN077,day,35.2
2013-07-24 23:00:00,DESN077,day,31.45
2013-07-25 23:00:00,DESN077,day,28.55
2013-07-26 23:00:00,DESN077,day,26.08
2013-07-27 23:00:00,DESN077,day,26.42
2013-07-28 23:00:00,DESN077,day,23.42
2013-07-29 23:00:00,DESN077,day,17.09
2013-07-30 23:00:00,DESN077,day,19.32
2013-07-31 23:00:00,DESN077,day,12.22
2013-08-01 23:00:00,DESN077,day,17.5
2013-08-02 23:00:00,DESN077,day,27.87
2013-08-03 23:00:00,DESN077,day,26.96
2013-08-04 23:00:00,DESN077,day,18.1
2013-08-05 23:00:00,DESN077,day,23.56
2013-08-06 23:00:00,DESN077,day,25.21
2013-08-07 23:00:00,DESN077,day,32.9
2013-08-08 23:00:00,DESN077,day,19.8
2013-08-09 23:00:00,DESN077,day,23.29
2013-08-10 23:00:00,DESN077,day,20.56
2013-08-11 23:00:00,DESN077,day,19.2
2013-08-12 23:00:00,DESN077,day,16.9
2013-08-13 23:00:00,DESN077,day,12.22
2013-08-14 23:00:00,DESN077,day,14.17
2013-08-15 23:00:00,DESN077,day,23.47
2013-08-16 23:00:00,DESN077,day,25.36
2013-08-17 23:00:00,DESN077,day,32.82
2013-08-18 23:00:00,DESN077,day,20.38
2013-08-19 23:00:00,DESN077,day,15.85
2013-08-20 23:00:00,DESN077,day,16.26
2013-08-21 23:00:00,DESN077,day,21.47
2013-08-22 23:00:00,DESN077,day,25.58
2013-08-23 23:00:00,DESN077,day,32.57
2013-08-24 23:00:00,DESN077,day,23.14
2013-08-25 23:00:00,DESN077,day,19.93
2013-08-26 23:00:00,DESN077,day,24.64
2013-08-27 23:00:00,DESN077,day,23.95
2013-08-28 23:00:00,DESN077,day,30.72
2013-08-29 23:00:00,DESN077,day,34.42
2013-08-30 23:00:00,DESN077,day,44.44
2013-08-31 23:00:00,DESN077,day,35.77
2013-09-01 23:00:00,DESN077,day,16.07
2013-09-02 23:00:00,DESN077,day,20.89
2013-09-03 23:00:00,DESN077,day,19.22
2013-09-04 23:00:00,DESN077,day,27.98
2013-09-05 23:00:00,DESN077,day,21.97
2013-09-06 23:00:00,DESN077,day,27.31
2013-09-07 23:00:00,DESN077,day,28.63
2013-09-08 23:00:00,DESN077,day,23.01
2013-09-09 23:00:00,DESN077,day,10.3
2013-09-10 23:00:00,DESN077,day,14.88
2013-09-11 23:00:00,DESN077,day,11.73
2013-09-12 23:00:00,DESN077,day,21.37
2013-09-13 23:00:00,DESN077,day,23.67
2013-09-14 23:00:00,DESN077,day,17.52
2013-09-15 23:00:00,DESN077,day,8.64
2013-09-16 23:00:00,DESN077,day,14.42
2013-09-17 23:00:00,DESN077,day,14.75
2013-09-18 23:00:00,DESN077,day,12.91
2013-09-19 23:00:00,DESN077,day,17.61
2013-09-20 23:00:00,DESN077,day,14.61
2013-09-21 23:00:00,DESN077,day,19.9
2013-09-22 23:00:00,DESN077,day,17.25
2013-09-23 23:00:00,DESN077,day,16.92
2013-09-24 23:00:00,DESN077,day,18.69
2013-09-25 23:00:00,DESN077,day,21.77
2013-09-26 23:00:00,DESN077,day,29.12
2013-09-27 23:00:00,DESN077,day,29.24
2013-09-28 23:00:00,DESN077,day,26.15
2013-09-29 23:00:00,DESN077,day,16.3
2013-09-30 23:00:00,DESN077,day,23.96
2013-10-01 23:00:00,DESN077,day,31.67
2013-10-02 23:00:00,DESN077,day,26.98
2013-10-03 23:00:00,DESN077,day,22.82
2013-10-04 23:00:00,DESN077,day,32.33
2013-10-05 23:00:00,DESN077,day,32.63
2013-10-06 23:00:00,DESN077,day,29.39
2013-10-07 23:00:00,DESN077,day,36.42
2013-10-08 23:00:00,DESN077,day,38.84
2013-10-09 23:00:00,DESN077,day,44.16
2013-10-10 23:00:00,DESN077,day,16.47
2013-10-11 23:00:00,DESN077,day,18.88
2013-10-12 23:00:00,DESN077,day,24.56
2013-10-13 23:00:00,DESN077,day,21.45
2013-10-14 23:00:00,DESN077,day,27.38
