,index,batch_size,dropout_rate,epochs,input_shape,learning_rate,max_depth,model,n_estimators,n_neighbors,normalize,score,weights
0,0,,,,,,,knn,,20.0,,-57.703545429249694,uniform
1,0,,,,,,3.0,decision_tree,,,,-63.56942023695752,
2,0,,,,,,10.0,random_forest,115.0,,,-55.7278930925852,
3,0,,,,,,,linear_regression,,,True,-54.12944049650607,
4,0,27.0,0.1,9.0,"(27, 1)",0.001,,gru,,,,-54.123589129831586,37
