,index,batch_size,dropout_rate,epochs,input_shape,learning_rate,max_depth,model,n_estimators,n_neighbors,normalize,score,weights
0,0,,,,,,,knn,,18.0,,-78.5280876345019,distance
1,0,,,,,,3.0,decision_tree,,,,-62.591011449764565,
2,0,,,,,,5.0,random_forest,100.0,,,-57.29380871993902,
3,0,,,,,,,linear_regression,,,False,-55.56360768565449,
4,0,27.0,0.2,9.0,"(27, 1)",0.005222222222222222,,gru,,,,-85.13869382338467,53
